ID,Label,Type
"family:Etmopteridae","Etmopteridae","family"
"family:Philopteridae","Philopteridae","family"
"order:Psocodea","Psocodea","order"
"family:Mammutidae","Mammutidae","family"
"family:Ampeliscidae","Ampeliscidae","family"
"family:Convolutidae","Convolutidae","family"
"order:Acoela","Acoela","order"
"family:Anisolabididae","Anisolabididae","family"
"order:Dermaptera","Dermaptera","order"
"family:Raspailiidae","Raspailiidae","family"
"family:Plethodontidae","Plethodontidae","family"
"order:Urodela","Urodela","order"
"family:Sabellidae","Sabellidae","family"
"family:Millotauropodidae","Millotauropodidae","family"
"order:Hexamerocerata","Hexamerocerata","order"
"family:Monognathidae","Monognathidae","family"
"family:Protomonotresidae","Protomonotresidae","family"
"order:Prolecithophora","Prolecithophora","order"
"family:Desmodoridae","Desmodoridae","family"
"order:Desmodorida","Desmodorida","order"
"family:Sagittidae","Sagittidae","family"
"family:Lernaeodiscidae","Lernaeodiscidae","family"
"family:Trimusculidae","Trimusculidae","family"
"order:Eupulmonata","Eupulmonata","order"
"family:Eucopiidae","Eucopiidae","family"
"family:Notodelphyidae","Notodelphyidae","family"
"order:Cyclopoida","Cyclopoida","order"
"family:Escavadodontidae","Escavadodontidae","family"
"order:Palaeanodonta","Palaeanodonta","order"
"family:Exocoetidae","Exocoetidae","family"
"family:Pedinidae","Pedinidae","family"
"family:Derocheilocarididae","Derocheilocarididae","family"
"order:Mystacocaridida","Mystacocaridida","order"
"family:Cosmetidae","Cosmetidae","family"
"order:Opiliones","Opiliones","order"
"family:Zeilleriidae","Zeilleriidae","family"
"order:Terebratulida","Terebratulida","order"
"family:Phasianidae","Phasianidae","family"
"family:Otididae","Otididae","family"
"family:Mugilidae","Mugilidae","family"
"family:Anaspidesidae","Anaspidesidae","family"
"family:Struthionidae","Struthionidae","family"
"order:Struthioniformes","Struthioniformes","order"
"family:Thylacinidae","Thylacinidae","family"
"order:Dasyuromorphia","Dasyuromorphia","order"
"family:Prayidae","Prayidae","family"
"family:Cambaridae","Cambaridae","family"
"order:Decapoda","Decapoda","order"
"family:Siphonariidae","Siphonariidae","family"
"family:Dasyuridae","Dasyuridae","family"
"family:Bythitidae","Bythitidae","family"
"family:Echinoderidae","Echinoderidae","family"
"family:Zoanthidae","Zoanthidae","family"
"family:Rallidae","Rallidae","family"
"order:Gruiformes","Gruiformes","order"
"family:Limacinidae","Limacinidae","family"
"order:Thecosomata","Thecosomata","order"
"family:Mordaciidae","Mordaciidae","family"
"family:Cyatholaimidae","Cyatholaimidae","family"
"family:Irciniidae","Irciniidae","family"
"family:Bentheuphausiidae","Bentheuphausiidae","family"
"family:Sinuolineidae","Sinuolineidae","family"
"order:Bivalvulida","Bivalvulida","order"
"family:Talpidae","Talpidae","family"
"family:Tellinidae","Tellinidae","family"
"order:Cardiida","Cardiida","order"
"family:Brontotheriidae","Brontotheriidae","family"
"family:Aeginidae","Aeginidae","family"
"order:Narcomedusae","Narcomedusae","order"
"family:Diplommatinidae","Diplommatinidae","family"
"family:Rhinocricidae","Rhinocricidae","family"
"order:Spirobolida","Spirobolida","order"
"family:Polymixiidae","Polymixiidae","family"
"order:Polymixiiformes","Polymixiiformes","order"
"family:Baetidae","Baetidae","family"
"family:Sagartiidae","Sagartiidae","family"
"family:Pauropodidae","Pauropodidae","family"
"family:Mustelidae","Mustelidae","family"
"family:Dimylidae","Dimylidae","family"
"family:Hexarthridae","Hexarthridae","family"
"order:Ploima","Ploima","order"
"family:Polymastiidae","Polymastiidae","family"
"order:Polymastiida","Polymastiida","order"
"family:Eosentomidae","Eosentomidae","family"
"order:Protura","Protura","order"
"family:Ophidiasteridae","Ophidiasteridae","family"
"family:Ophiotrichidae","Ophiotrichidae","family"
"family:Anoplocephalidae","Anoplocephalidae","family"
"family:Cateriidae","Cateriidae","family"
"order:Cyclorhagida/Allomalorhagida","Cyclorhagida/Allomalorhagida","order"
"family:Argasidae","Argasidae","family"
"family:Spirulidae","Spirulidae","family"
"order:Spirulida","Spirulida","order"
"family:Hormathiidae","Hormathiidae","family"
"family:Scolopendridae","Scolopendridae","family"
"order:Chilopoda","Chilopoda","order"
"family:Ricordeidae","Ricordeidae","family"
"order:Corallimorpharia","Corallimorpharia","order"
"family:Characidae","Characidae","family"
"order:Characiformes","Characiformes","order"
"family:Milnesiidae","Milnesiidae","family"
"order:Apochela","Apochela","order"
"family:Hemiramphidae","Hemiramphidae","family"
"family:Neoechinorhynchidae","Neoechinorhynchidae","family"
"order:Neoechinorhynchida","Neoechinorhynchida","order"
"family:Acteonidae","Acteonidae","family"
"order:Lower Heterobranchia","Lower Heterobranchia","order"
"family:Koonungidae","Koonungidae","family"
"family:Hymedesmiidae","Hymedesmiidae","family"
"order:Poecilosclerida","Poecilosclerida","order"
"family:Torpedinidae","Torpedinidae","family"
"family:Cytheruridae","Cytheruridae","family"
"order:Podocopida","Podocopida","order"
"family:Mecistocephalidae","Mecistocephalidae","family"
"order:Geophilomorpha","Geophilomorpha","order"
"family:Scutigerinidae","Scutigerinidae","family"
"family:Otinidae","Otinidae","family"
"family:Carybdeidae","Carybdeidae","family"
"order:Cubozoa","Cubozoa","order"
"family:Gnathostomulidae","Gnathostomulidae","family"
"family:Amphiporidae","Amphiporidae","family"
"order:Hoplonemertea","Hoplonemertea","order"
"family:Poecilasmatidae","Poecilasmatidae","family"
"family:Procaviidae","Procaviidae","family"
"order:Hyracoidea","Hyracoidea","order"
"family:Monocelididae","Monocelididae","family"
"order:Proseriata","Proseriata","order"
"family:Polyxenidae","Polyxenidae","family"
"order:Polyxenida","Polyxenida","order"
"family:Hymerhabdiidae","Hymerhabdiidae","family"
"order:Agelasida","Agelasida","order"
"family:Chlamydoselachidae","Chlamydoselachidae","family"
"order:Hexanchiformes","Hexanchiformes","order"
"family:Gonyleptidae","Gonyleptidae","family"
"family:Hydrobatidae","Hydrobatidae","family"
"order:Procellariiformes","Procellariiformes","order"
"family:Cavoliniidae","Cavoliniidae","family"
"family:Piscicolidae","Piscicolidae","family"
"order:Rhynchobdellida","Rhynchobdellida","order"
"family:Scyliorhinidae","Scyliorhinidae","family"
"order:Carcharhiniformes","Carcharhiniformes","order"
"family:Stylocordylidae","Stylocordylidae","family"
"order:Suberitida","Suberitida","order"
"family:Asperspinidae","Asperspinidae","family"
"order:Acochlidiacea","Acochlidiacea","order"
"family:Axinellidae","Axinellidae","family"
"family:Gnosonesimidae","Gnosonesimidae","family"
"family:Pseudostichopodidae","Pseudostichopodidae","family"
"family:Dendrogastridae","Dendrogastridae","family"
"order:Dendrogastrida","Dendrogastrida","order"
"family:Chaeropodidae","Chaeropodidae","family"
"family:Mesoraphidiidae","Mesoraphidiidae","family"
"order:Raphidiomorpha","Raphidiomorpha","order"
"family:Dalyelliidae","Dalyelliidae","family"
"order:Rhabdocoela","Rhabdocoela","order"
"family:Amphinomidae","Amphinomidae","family"
"order:Polychaeta","Polychaeta","order"
"family:Ophiolepididae","Ophiolepididae","family"
"family:Geryoniidae","Geryoniidae","family"
"family:Ptilocercidae","Ptilocercidae","family"
"family:Megatheriidae","Megatheriidae","family"
"order:Not available in context","Not available in context","order"
"family:Hyocrinidae","Hyocrinidae","family"
"order:Hyocrinida","Hyocrinida","order"
"family:Semnoderidae","Semnoderidae","family"
"family:Mazocraeidae","Mazocraeidae","family"
"order:Mazocraeidea","Mazocraeidea","order"
"family:Suberitidae","Suberitidae","family"
"family:Muspiceidae","Muspiceidae","family"
"order:Muspiceida","Muspiceida","order"
"family:Cyematidae","Cyematidae","family"
"family:Australiteuthidae","Australiteuthidae","family"
"order:Myopsida","Myopsida","order"
"family:Linguatulidae","Linguatulidae","family"
"order:Porocephalida","Porocephalida","order"
"family:Henicopidae","Henicopidae","family"
"order:Lithobiomorpha","Lithobiomorpha","order"
"family:Cuculidae","Cuculidae","family"
"order:Cuculiformes","Cuculiformes","order"
"family:Eremiaphilidae","Eremiaphilidae","family"
"order:Mantodea","Mantodea","order"
"family:Laganidae","Laganidae","family"
"family:Presbyornithidae","Presbyornithidae","family"
"family:Julidae","Julidae","family"
"family:Haminoeidae","Haminoeidae","family"
"family:Dromornithidae","Dromornithidae","family"
"order:Galloanserae","Galloanserae","order"
"family:Chironomidae","Chironomidae","family"
"family:Laetmogonidae","Laetmogonidae","family"
"family:Pyrosomatidae","Pyrosomatidae","family"
"order:Tunicata","Tunicata","order"
"family:Balanidae","Balanidae","family"
"order:Balanomorpha","Balanomorpha","order"
"family:Bolinopsidae","Bolinopsidae","family"
"order:Ctenophora","Ctenophora","order"
"family:Quadrigyridae","Quadrigyridae","family"
"order:Gyracanthocephala","Gyracanthocephala","order"
"family:Acanthobdellidae","Acanthobdellidae","family"
"order:Acanthobdellida","Acanthobdellida","order"
"family:Nymphonidae","Nymphonidae","family"
"order:Pycnogonida","Pycnogonida","order"
"family:Sternoptychidae","Sternoptychidae","family"
"order:Stomiiformes","Stomiiformes","order"
"family:Gephyrothuriidae","Gephyrothuriidae","family"
"order:Persiculida","Persiculida","order"
"family:Fissurellidae","Fissurellidae","family"
"order:Vetigastropoda","Vetigastropoda","order"
"family:Pyrgomatidae","Pyrgomatidae","family"
"family:Psychocidaridae","Psychocidaridae","family"
"order:Cidaroida","Cidaroida","order"
"family:Styelidae","Styelidae","family"
"family:Anisembiidae","Anisembiidae","family"
"order:Embioptera","Embioptera","order"
"family:Calliostomatidae","Calliostomatidae","family"
"order:Not Applicable (Information not provided)","Not Applicable (Information not provided)","order"
"family:Thecidellinidae","Thecidellinidae","family"
"order:Thecideida","Thecideida","order"
"family:Dercetidae","Dercetidae","family"
"order:Enchodontiformes","Enchodontiformes","order"
"family:Halichondriidae","Halichondriidae","family"
"family:Ancorinidae","Ancorinidae","family"
"order:Tetractinellida","Tetractinellida","order"
"family:Basterotiidae","Basterotiidae","family"
"order:Galeommatida","Galeommatida","order"
"family:Pampatheriidae","Pampatheriidae","family"
"order:Cingulata","Cingulata","order"
"family:Chitonidae","Chitonidae","family"
"family:Macrobiotidae","Macrobiotidae","family"
"family:Pegasidae","Pegasidae","family"
"order:Syngnathiformes","Syngnathiformes","order"
"modality:camouflage","camouflage","modality"
"family:Bagridae","Bagridae","family"
"family:Chromadoridae","Chromadoridae","family"
"order:Chromadorida","Chromadorida","order"
"family:Acipenseridae","Acipenseridae","family"
"order:Acipenseriformes","Acipenseriformes","order"
"family:Atrochidae","Atrochidae","family"
"order:Collothecaceae","Collothecaceae","order"
"family:Geophilidae","Geophilidae","family"
"family:Andrognathidae","Andrognathidae","family"
"order:Platydesmida","Platydesmida","order"
"family:Opisthocomidae","Opisthocomidae","family"
"order:Opisthocomiformes","Opisthocomiformes","order"
"family:Upupidae","Upupidae","family"
"family:Aegothelidae","Aegothelidae","family"
"family:Echiniscidae","Echiniscidae","family"
"order:Echiniscoidea","Echiniscoidea","order"
"family:Mariplanellidae","Mariplanellidae","family"
"family:Tetradonematidae","Tetradonematidae","family"
"family:Scorpaenidae","Scorpaenidae","family"
"family:Myrmeleontidae","Myrmeleontidae","family"
"order:Neuroptera","Neuroptera","order"
"family:Archaeobalanidae","Archaeobalanidae","family"
"family:Echinasteridae","Echinasteridae","family"
"order:Spinulosida","Spinulosida","order"
"family:Neomphalidae","Neomphalidae","family"
"order:Neomphalina","Neomphalina","order"
"family:Brisingidae","Brisingidae","family"
"family:Apodidae","Apodidae","family"
"order:Apodiformes","Apodiformes","order"
"family:Aeolothripidae","Aeolothripidae","family"
"order:Thysanoptera","Thysanoptera","order"
"family:Schendylidae","Schendylidae","family"
"family:Collothecidae","Collothecidae","family"
"family:Hemiscylliidae","Hemiscylliidae","family"
"order:Orectolobiformes","Orectolobiformes","order"
"family:Primnoidae","Primnoidae","family"
"family:Scolopacidae","Scolopacidae","family"
"family:Alestidae","Alestidae","family"
"family:Lithoglyptidae","Lithoglyptidae","family"
"order:Lithoglyptida","Lithoglyptida","order"
"family:Groenlandibelidae","Groenlandibelidae","family"
"family:Godzilliidae","Godzilliidae","family"
"order:Nectiopoda","Nectiopoda","order"
"family:Siphonorhinidae","Siphonorhinidae","family"
"order:Siphonophorida","Siphonophorida","order"
"family:Helicinidae","Helicinidae","family"
"family:Campanulariidae","Campanulariidae","family"
"family:Mantidae","Mantidae","family"
"family:Lacistorhynchidae","Lacistorhynchidae","family"
"order:Trypanorhyncha","Trypanorhyncha","order"
"family:Aphanipathidae","Aphanipathidae","family"
"family:Hexanchidae","Hexanchidae","family"
"family:Monhysteridae","Monhysteridae","family"
"family:Spirastrellidae","Spirastrellidae","family"
"order:Clionaida","Clionaida","order"
"family:Cercopithecidae","Cercopithecidae","family"
"family:Eriophyidae","Eriophyidae","family"
"family:Musophagidae","Musophagidae","family"
"order:Musophagiformes","Musophagiformes","order"
"family:Nausithoidae","Nausithoidae","family"
"family:Chaetodermatidae","Chaetodermatidae","family"
"order:Caudofoveata","Caudofoveata","order"
"family:Rhinidae","Rhinidae","family"
"order:Rhinopristiformes","Rhinopristiformes","order"
"family:Ascopariidae","Ascopariidae","family"
"order:Nemertodermatida","Nemertodermatida","order"
"family:Hemiasteridae","Hemiasteridae","family"
"order:Spatangoida","Spatangoida","order"
"family:Tetraonchoididae","Tetraonchoididae","family"
"order:Gyrodactylidea","Gyrodactylidea","order"
"family:Parasitidae","Parasitidae","family"
"family:Diapleuridae","Diapleuridae","family"
"order:Lychniscosida","Lychniscosida","order"
"family:Vampyroteuthidae","Vampyroteuthidae","family"
"order:Vampyromorphida","Vampyromorphida","order"
"family:Geotriidae","Geotriidae","family"
"order:Not specified in context data","Not specified in context data","order"
"family:Curculionidae","Curculionidae","family"
"order:Coleoptera","Coleoptera","order"
"family:Saleniidae","Saleniidae","family"
"order:Salenioida","Salenioida","order"
"family:Platycopiidae","Platycopiidae","family"
"family:Lepadidae","Lepadidae","family"
"order:Sessilia","Sessilia","order"
"family:Dasyatidae","Dasyatidae","family"
"order:Myliobatiformes","Myliobatiformes","order"
"family:Percopsidae","Percopsidae","family"
"order:Percopsiformes","Percopsiformes","order"
"family:Pleurobrachiidae","Pleurobrachiidae","family"
"family:Columbidae","Columbidae","family"
"order:Columbiformes","Columbiformes","order"
"family:Colobometridae","Colobometridae","family"
"family:Teuthirostriidae","Teuthirostriidae","family"
"family:Melamphaidae","Melamphaidae","family"
"family:Ancyrocephalidae","Ancyrocephalidae","family"
"family:Platytroctidae","Platytroctidae","family"
"order:Alepocephaliformes","Alepocephaliformes","order"
"family:Dentaliidae","Dentaliidae","family"
"order:Dentaliida","Dentaliida","order"
"family:Pedicellasteridae","Pedicellasteridae","family"
"family:Myrmecobiidae","Myrmecobiidae","family"
"family:Comatulidae","Comatulidae","family"
"family:Corallimorphidae","Corallimorphidae","family"
"family:Eurypauropodidae","Eurypauropodidae","family"
"family:Mawsoniidae","Mawsoniidae","family"
"family:Isolaimiidae","Isolaimiidae","family"
"order:Isolaimida","Isolaimida","order"
"family:Ichneumonidae","Ichneumonidae","family"
"family:Erpobdellidae","Erpobdellidae","family"
"order:Arhynchobdellida","Arhynchobdellida","order"
"family:Diapheromeridae","Diapheromeridae","family"
"family:Spathebothriidae","Spathebothriidae","family"
"order:Spathebothriidea","Spathebothriidea","order"
"family:Caenolestidae","Caenolestidae","family"
"order:Paucituberculata","Paucituberculata","order"
"family:Gorgonorhynchidae","Gorgonorhynchidae","family"
"order:Heteronemertea","Heteronemertea","order"
"family:Ischnochitonidae","Ischnochitonidae","family"
"family:Aspidogastridae","Aspidogastridae","family"
"family:Halisarcidae","Halisarcidae","family"
"order:Chondrillida","Chondrillida","order"
"family:Lissodiadematidae","Lissodiadematidae","family"
"family:Protochitonidae","Protochitonidae","family"
"family:Ophiomyxidae","Ophiomyxidae","family"
"family:Thorectidae","Thorectidae","family"
"family:Acanthochitonidae","Acanthochitonidae","family"
"order:Polyplacophora","Polyplacophora","order"
"modality:echolocation","echolocation","modality"
"family:Anthroleucosomatidae","Anthroleucosomatidae","family"
"order:Chordeumatida","Chordeumatida","order"
"family:Axonolaimidae","Axonolaimidae","family"
"order:Araeolaimida","Araeolaimida","order"
"family:Stichopodidae","Stichopodidae","family"
"order:Synallactida","Synallactida","order"
"family:Prokoeneniidae","Prokoeneniidae","family"
"order:Palpigradi","Palpigradi","order"
"family:Leptoceridae","Leptoceridae","family"
"order:Trichoptera","Trichoptera","order"
"family:Paradoxosomatidae","Paradoxosomatidae","family"
"order:Polydesmida","Polydesmida","order"
"family:Gigantorhynchidae","Gigantorhynchidae","family"
"order:Gigantorhynchida","Gigantorhynchida","order"
"family:Perlodidae","Perlodidae","family"
"order:Plecoptera","Plecoptera","order"
"family:Nemouridae","Nemouridae","family"
"family:Lucernariidae","Lucernariidae","family"
"family:Rhynochetidae","Rhynochetidae","family"
"family:Sialidae","Sialidae","family"
"order:Megaloptera","Megaloptera","order"
"family:Toxopneustidae","Toxopneustidae","family"
"family:Arcidae","Arcidae","family"
"family:Sipunculidae","Sipunculidae","family"
"family:Moniliformidae","Moniliformidae","family"
"order:Moniliformida","Moniliformida","order"
"family:Monorhaphididae","Monorhaphididae","family"
"family:Thaumatocyprididae","Thaumatocyprididae","family"
"family:Dugongidae","Dugongidae","family"
"order:Sirenia","Sirenia","order"
"family:Clupeidae","Clupeidae","family"
"order:Clupeiformes","Clupeiformes","order"
"family:Amphilemuridae","Amphilemuridae","family"
"family:Nuculanidae","Nuculanidae","family"
"family:Scutigeridae","Scutigeridae","family"
"family:Congridae","Congridae","family"
"order:Anguilliformes","Anguilliformes","order"
"family:Phlaeothripidae","Phlaeothripidae","family"
"family:Cathetocephalidae","Cathetocephalidae","family"
"order:Tetraphyllidea","Tetraphyllidea","order"
"family:Trichinellidae","Trichinellidae","family"
"family:Chrysopidae","Chrysopidae","family"
"family:Aphredoderidae","Aphredoderidae","family"
"family:Deimatidae","Deimatidae","family"
"family:Ceratomyxidae","Ceratomyxidae","family"
"family:Lytocestidae","Lytocestidae","family"
"family:Kishinouyeidae","Kishinouyeidae","family"
"order:Stauromedusae","Stauromedusae","order"
"family:Euplectellidae","Euplectellidae","family"
"family:Streptocephalidae","Streptocephalidae","family"
"family:Discosomidae","Discosomidae","family"
"family:Cyclophoridae","Cyclophoridae","family"
"order:Architaenioglossa","Architaenioglossa","order"
"family:Asteriidae","Asteriidae","family"
"family:Eurypygidae","Eurypygidae","family"
"order:Eurypygiformes","Eurypygiformes","order"
"family:Lophoproctidae","Lophoproctidae","family"
"family:Diomedeidae","Diomedeidae","family"
"family:Glycymerididae","Glycymerididae","family"
"order:Arcida","Arcida","order"
"family:Polyzoniidae","Polyzoniidae","family"
"order:Polyzoniida","Polyzoniida","order"
"family:Palpophriidae","Palpophriidae","family"
"family:Neelidae","Neelidae","family"
"order:Neelipleona","Neelipleona","order"
"family:Chiropsellidae","Chiropsellidae","family"
"family:Pulsellidae","Pulsellidae","family"
"family:Apterygidae","Apterygidae","family"
"order:Apterygiformes","Apterygiformes","order"
"family:Poeciliidae","Poeciliidae","family"
"order:Cyprinodontiformes","Cyprinodontiformes","order"
"family:Bubaridae","Bubaridae","family"
"order:Bubarida","Bubarida","order"
"family:Caeciliidae","Caeciliidae","family"
"order:Gymnophiona","Gymnophiona","order"
"family:Trachyleberididae","Trachyleberididae","family"
"family:Ophiacanthidae","Ophiacanthidae","family"
"family:Bourletiellidae","Bourletiellidae","family"
"order:Symphypleona","Symphypleona","order"
"family:Cyprinidae","Cyprinidae","family"
"family:Disculicepitidae","Disculicepitidae","family"
"order:Cathetocephalidea","Cathetocephalidea","order"
"family:Seisonidae","Seisonidae","family"
"family:Charinidae","Charinidae","family"
"order:Tailless Whip Scorpions (Amblypygi)","Tailless Whip Scorpions (Amblypygi)","order"
"family:Petromyzontidae","Petromyzontidae","family"
"family:Solenidae","Solenidae","family"
"order:Euheterodonta","Euheterodonta","order"
"family:Pteropodidae","Pteropodidae","family"
"family:Microbiotheriidae","Microbiotheriidae","family"
"order:Microbiotheria","Microbiotheria","order"
"family:Pelagiidae","Pelagiidae","family"
"modality:nociception","nociception","modality"
"family:Notoryctidae","Notoryctidae","family"
"order:Notoryctemorphia","Notoryctemorphia","order"
"family:Cracidae","Cracidae","family"
"order:Galliformes","Galliformes","order"
"family:Leptopsyllidae","Leptopsyllidae","family"
"family:Leucopsacidae","Leucopsacidae","family"
"family:Basiliolidae","Basiliolidae","family"
"order:Rhynchonellida","Rhynchonellida","order"
"family:Aulocystidae","Aulocystidae","family"
"family:Duplorbidae","Duplorbidae","family"
"order:Rhizocephala","Rhizocephala","order"
"family:Ophichthidae","Ophichthidae","family"
"family:Peltogastridae","Peltogastridae","family"
"family:Beroidae","Beroidae","family"
"order:Beroida","Beroida","order"
"family:Myxinidae","Myxinidae","family"
"order:Myxiniformes","Myxiniformes","order"
"family:Thamnocephalidae","Thamnocephalidae","family"
"order:Anostraca","Anostraca","order"
"family:Glyptodontidae","Glyptodontidae","family"
"order:Cingulata (inferred)","Cingulata (inferred)","order"
"family:Hydroptilidae","Hydroptilidae","family"
"family:Echinarachniidae","Echinarachniidae","family"
"family:Squalodontidae","Squalodontidae","family"
"family:Leucotheidae","Leucotheidae","family"
"family:Tubuliporidae","Tubuliporidae","family"
"family:Hynobiidae","Hynobiidae","family"
"family:Plagiorhynchidae","Plagiorhynchidae","family"
"family:Aspidosiphonidae","Aspidosiphonidae","family"
"order:Aspidosiphonida","Aspidosiphonida","order"
"family:Ctenocidaridae","Ctenocidaridae","family"
"family:Pristigasteridae","Pristigasteridae","family"
"family:Echinolampadidae","Echinolampadidae","family"
"order:Cassiduloida","Cassiduloida","order"
"family:Procellariidae","Procellariidae","family"
"family:Machilidae","Machilidae","family"
"modality:hydroreception","hydroreception","modality"
"family:Mastacembelidae","Mastacembelidae","family"
"order:Synbranchiformes","Synbranchiformes","order"
"family:Haemadipsidae","Haemadipsidae","family"
"family:Sminthuridae","Sminthuridae","family"
"family:Spongiphoridae","Spongiphoridae","family"
"family:Paralepididae","Paralepididae","family"
"family:Habrotrochidae","Habrotrochidae","family"
"order:Bdelloida","Bdelloida","order"
"family:Sphenopidae","Sphenopidae","family"
"family:Engraulidae","Engraulidae","family"
"family:Ciconiidae","Ciconiidae","family"
"order:Ciconiiformes","Ciconiiformes","order"
"family:Loricariidae","Loricariidae","family"
"family:Syllidae","Syllidae","family"
"family:Molpadiidae","Molpadiidae","family"
"family:Carditidae","Carditidae","family"
"order:Carditida","Carditida","order"
"family:Pleurobranchidae","Pleurobranchidae","family"
"order:Pleurobranchida","Pleurobranchida","order"
"family:Aetideidae","Aetideidae","family"
"order:Calanoida","Calanoida","order"
"family:Caryophylliidae","Caryophylliidae","family"
"family:Enteroctopodidae","Enteroctopodidae","family"
"family:Pleuronectidae","Pleuronectidae","family"
"order:Pleuronectiformes (inferred)","Pleuronectiformes (inferred)","order"
"family:Arbaciidae","Arbaciidae","family"
"order:Arbacioida","Arbacioida","order"
"family:Gaviidae","Gaviidae","family"
"order:Gaviiformes","Gaviiformes","order"
"family:Polymorphidae","Polymorphidae","family"
"family:Laevidentaliidae","Laevidentaliidae","family"
"family:Mermithidae","Mermithidae","family"
"family:Dorylaimidae","Dorylaimidae","family"
"order:Dorylaimida","Dorylaimida","order"
"family:Calliobothriidae","Calliobothriidae","family"
"family:Prosobothriidae","Prosobothriidae","family"
"family:Gibberichthyidae","Gibberichthyidae","family"
"family:Meropidae","Meropidae","family"
"family:Trichodoridae","Trichodoridae","family"
"order:Triplonchida","Triplonchida","order"
"family:Abacionidae","Abacionidae","family"
"family:Cylichnidae","Cylichnidae","family"
"family:Hyperoodontidae","Hyperoodontidae","family"
"family:Lepidomysidae","Lepidomysidae","family"
"order:Stygiomysida/Mysida","Stygiomysida/Mysida","order"
"family:Timeidae","Timeidae","family"
"order:Tethyida","Tethyida","order"
"family:Pteroclididae","Pteroclididae","family"
"family:Diaptomidae","Diaptomidae","family"
"family:Bucerotidae","Bucerotidae","family"
"family:Loliginidae","Loliginidae","family"
"family:Gyrodactylidae","Gyrodactylidae","family"
"family:Desmacellidae","Desmacellidae","family"
"order:Desmacellida","Desmacellida","order"
"family:Patriomanidae","Patriomanidae","family"
"order:Pholidota (inferred)","Pholidota (inferred)","order"
"family:Notacanthidae","Notacanthidae","family"
"order:Uncertain (Eel-like fishes)","Uncertain (Eel-like fishes)","order"
"family:Neopilinidae","Neopilinidae","family"
"order:Tryblidiida","Tryblidiida","order"
"family:Kudoidae","Kudoidae","family"
"family:Phthiracaridae","Phthiracaridae","family"
"order:Oribatida","Oribatida","order"
"family:Chilodontaidae","Chilodontaidae","family"
"family:Lucinidae","Lucinidae","family"
"order:Not applicable from context","Not applicable from context","order"
"family:Sagittariidae","Sagittariidae","family"
"family:Odontaspididae","Odontaspididae","family"
"family:Bougainvilliidae","Bougainvilliidae","family"
"family:Prolagidae","Prolagidae","family"
"order:Lagomorpha","Lagomorpha","order"
"family:Multicalycidae","Multicalycidae","family"
"family:Heterodontidae","Heterodontidae","family"
"order:Heterodontiformes","Heterodontiformes","order"
"family:Scalpellidae","Scalpellidae","family"
"order:Scalpellomorpha","Scalpellomorpha","order"
"family:Longidoridae","Longidoridae","family"
"order:Nematoda","Nematoda","order"
"family:Idiosepiidae","Idiosepiidae","family"
"order:Idiosepida","Idiosepida","order"
"family:Plagioeciidae","Plagioeciidae","family"
"family:Oneirodidae","Oneirodidae","family"
"family:Ginglymostomatidae","Ginglymostomatidae","family"
"family:Casuariidae","Casuariidae","family"
"family:Eupyrgidae","Eupyrgidae","family"
"family:Chthamalophilidae","Chthamalophilidae","family"
"family:Leptosomidae","Leptosomidae","family"
"order:Leptosomiformes","Leptosomiformes","order"
"family:Acrobothriidae","Acrobothriidae","family"
"family:Mylodontidae","Mylodontidae","family"
"order:Pilosa","Pilosa","order"
"family:Inocelliidae","Inocelliidae","family"
"family:Cleidogonidae","Cleidogonidae","family"
"family:Kollikodontidae","Kollikodontidae","family"
"order:Monotremata (inferred)","Monotremata (inferred)","order"
"family:Lepismatidae","Lepismatidae","family"
"family:Porocephalidae","Porocephalidae","family"
"family:Leptochitonidae","Leptochitonidae","family"
"family:Brachionidae","Brachionidae","family"
"family:Corbulidae","Corbulidae","family"
"order:Myida","Myida","order"
"family:Crassodontidanidae","Crassodontidanidae","family"
"family:Microhylidae","Microhylidae","family"
"family:Molgulidae","Molgulidae","family"
"order:Ascidiacea","Ascidiacea","order"
"family:Archembiidae","Archembiidae","family"
"family:Siphonophoridae","Siphonophoridae","family"
"family:Unionidae","Unionidae","family"
"order:Unionida","Unionida","order"
"family:Spondylidae","Spondylidae","family"
"family:Echinophallidae","Echinophallidae","family"
"order:Bothriocephalidea","Bothriocephalidea","order"
"family:Caprimulgidae","Caprimulgidae","family"
"order:Caprimulgiformes","Caprimulgiformes","order"
"family:Pristiophoridae","Pristiophoridae","family"
"order:Pristiophoriformes","Pristiophoriformes","order"
"family:Cimolichthyidae","Cimolichthyidae","family"
"family:Cephalobaenidae","Cephalobaenidae","family"
"order:Pentastomida","Pentastomida","order"
"family:Notenteridae","Notenteridae","family"
"order:Fecampiida","Fecampiida","order"
"family:Nebaliopsididae","Nebaliopsididae","family"
"family:Craugastoridae","Craugastoridae","family"
"family:Arachnidiidae","Arachnidiidae","family"
"order:Ctenostomatida","Ctenostomatida","order"
"family:Dendyidae","Dendyidae","family"
"family:Dreissenidae","Dreissenidae","family"
"order:Not Applicable","Not Applicable","order"
"family:Melanodrymiidae","Melanodrymiidae","family"
"family:Goniasteridae","Goniasteridae","family"
"family:Trichoplacidae","Trichoplacidae","family"
"family:Amphiuridae","Amphiuridae","family"
"family:Leporidae","Leporidae","family"
"family:Rhizostomatidae","Rhizostomatidae","family"
"order:Scyphozoa","Scyphozoa","order"
"family:Veneridae","Veneridae","family"
