ID,Label,Type
"species:Polygenis platensis","Polygenis platensis","species"
"species:Camponotus lateralis","Camponotus lateralis","species"
"family:Erythraeidae","Erythraeidae","family"
"species:Forania sendrai","Forania sendrai","species"
"species:Felis badia","Felis badia","species"
"species:Fishing cat","Fishing cat","species"
"order:Semaeostomeae","Semaeostomeae","order"
"family:Ulmaridae","Ulmaridae","family"
"species:Australian box jelly","Australian box jelly","species"
"species:Haemaphysalis semermis","Haemaphysalis semermis","species"
"order:Chiroptera","Chiroptera","order"
"family:Emballonuridae","Emballonuridae","family"
"species:Platypus","Platypus","species"
"species:Iberian lynx","Iberian lynx","species"
"species:Rhipicephalus compositus","Rhipicephalus compositus","species"
"species:Rhipicephalus maculatus","Rhipicephalus maculatus","species"
"order:Unknown","Unknown","order"
"species:Kenyapithecus africanus","Kenyapithecus africanus","species"
"species:Haemaphysalis megaspinosa","Haemaphysalis megaspinosa","species"
"order:Teuthida","Teuthida","order"
"species:Giant squid","Giant squid","species"
"species:Sand cat","Sand cat","species"
"sub_type:Cutaneous","Cutaneous","sub_type"
"family:Delphinidae","Delphinidae","family"
"species:Common bottlenose dolphin","Common bottlenose dolphin","species"
"sub_type:Echolocation","Echolocation","sub_type"
"species:Svastrides melanura","Svastrides melanura","species"
"species:Tiamastus palpalis","Tiamastus palpalis","species"
"species:Dermacentor bellulus","Dermacentor bellulus","species"
"order:Octopoda","Octopoda","order"
"species:Common octopus","Common octopus","species"
"sub_type:Shape Discrimination","Shape Discrimination","sub_type"
"sub_type:Size Discrimination","Size Discrimination","sub_type"
"sub_type:Orientation Discrimination","Orientation Discrimination","sub_type"
"species:Pied goshawk","Pied goshawk","species"
"species:Koala","Koala","species"
"species:Falkland Islands wolf","Falkland Islands wolf","species"
"species:Sumatran pitviper","Sumatran pitviper","species"
"species:Eritranis andricus","Eritranis andricus","species"
"species:Camponotus fedtschenkoi","Camponotus fedtschenkoi","species"
"species:red-tailed bamboo pitviper","red-tailed bamboo pitviper","species"
"species:Rhipicephalus zambeziensis","Rhipicephalus zambeziensis","species"
"species:Bonobo","Bonobo","species"
"species:Hyalomma hussaini","Hyalomma hussaini","species"
"species:Western honey bee","Western honey bee","species"
"order:Rhabditida","Rhabditida","order"
"family:Rhabditidae","Rhabditidae","family"
"species:Diploscapter formicidae","Diploscapter formicidae","species"
"order:Lepidoptera","Lepidoptera","order"
"family:Nymphalidae","Nymphalidae","family"
"species:Monarch butterfly","Monarch butterfly","species"
"family:None","None","family"
"species:Human flea","Human flea","species"
"species:Haemaphysalis caucasica","Haemaphysalis caucasica","species"
"order:Anura","Anura","order"
"family:Ranidae","Ranidae","family"
"species:Wood frog","Wood frog","species"
"order:Proboscidea","Proboscidea","order"
"family:Elephantidae","Elephantidae","family"
"species:Elephantidae gen","Elephantidae gen","species"
"order:Sceptrulophora","Sceptrulophora","order"
"family:Dactylocalycidae","Dactylocalycidae","family"
"species:peacock mantis shrimp","peacock mantis shrimp","species"
"family:Vespertilionidae","Vespertilionidae","family"
"species:canyon bat","canyon bat","species"
"species:European wildcat","European wildcat","species"
"species:Oncicola","Oncicola","species"
"sub_type:Fluid Transport","Fluid Transport","sub_type"
"family:Xolalgidae","Xolalgidae","family"
"species:Dubininia africana","Dubininia africana","species"
"family:Phyllostomidae","Phyllostomidae","family"
"species:Common vampire bat","Common vampire bat","species"
"species:Hominidae spec.","Hominidae spec.","species"
"species:Rhipicephalus dux","Rhipicephalus dux","species"
"species:Archaehierax sylvestris","Archaehierax sylvestris","species"
"species:Camponotus cruentatus","Camponotus cruentatus","species"
"order:unknown","unknown","order"
"species:Kenyapithecus wickeri","Kenyapithecus wickeri","species"
"sub_type:Dental","Dental","sub_type"
"species:Gamssulzen Cave bear","Gamssulzen Cave bear","species"
"order:Polymorphida","Polymorphida","order"
"family:Centrorhynchidae","Centrorhynchidae","family"
